ARA Level,Atlas Name,Atlas Version,Case Name,Channel Number,Connection Lens Version,Injection Site,Overlap Format,Project Name,Secondary Injection Site,Seconday Injection Site,Slide Number,Threshold Adjusted,Tracer,(HEMISPHERE:R:G:B),ATLAS ONLY,OVERLAP,REGION
027,ARA,1,SW181219-04A,3,2.5.4,MOp_5(SW181219-04A),Region,SW181219-04A,None,None,1_14,False,EnvA-RB-mCherry,(l:31:156:86),163669,0,MOs_6a
027,ARA,1,SW181219-04A,3,2.5.4,MOp_5(SW181219-04A),Region,SW181219-04A,None,None,1_14,False,EnvA-RB-mCherry,(l:31:156:88),766643,0,MOs_5
027,ARA,1,SW181219-04A,3,2.5.4,MOp_5(SW181219-04A),Region,SW181219-04A,None,None,1_14,False,EnvA-RB-mCherry,(l:31:156:89),1562522,0,MOs_2/3
027,ARA,1,SW181219-04A,3,2.5.4,MOp_5(SW181219-04A),Region,SW181219-04A,None,None,1_14,False,EnvA-RB-mCherry,(l:31:156:90),927188,0,MOs_1
027,ARA,1,SW181219-04A,3,2.5.4,MOp_5(SW181219-04A),Region,SW181219-04A,None,None,1_14,False,EnvA-RB-mCherry,(l:31:157:86),14427,0,MOp_6a
027,ARA,1,SW181219-04A,3,2.5.4,MOp_5(SW181219-04A),Region,SW181219-04A,None,None,1_14,False,EnvA-RB-mCherry,(l:31:157:88),130006,0,MOp_5
027,ARA,1,SW181219-04A,3,2.5.4,MOp_5(SW181219-04A),Region,SW181219-04A,None,None,1_14,False,EnvA-RB-mCherry,(l:31:157:89),341123,0,MOp_2/3
027,ARA,1,SW181219-04A,3,2.5.4,MOp_5(SW181219-04A),Region,SW181219-04A,None,None,1_14,False,EnvA-RB-mCherry,(l:31:157:90),176647,0,MOp_1
027,ARA,1,SW181219-04A,3,2.5.4,MOp_5(SW181219-04A),Region,SW181219-04A,None,None,1_14,False,EnvA-RB-mCherry,(l:33:152:98),5075,0,AId_6a
027,ARA,1,SW181219-04A,3,2.5.4,MOp_5(SW181219-04A),Region,SW181219-04A,None,None,1_14,False,EnvA-RB-mCherry,(l:33:152:100),155264,0,AId_5
027,ARA,1,SW181219-04A,3,2.5.4,MOp_5(SW181219-04A),Region,SW181219-04A,None,None,1_14,False,EnvA-RB-mCherry,(l:33:152:101),389356,0,AId_2/3
027,ARA,1,SW181219-04A,3,2.5.4,MOp_5(SW181219-04A),Region,SW181219-04A,None,None,1_14,False,EnvA-RB-mCherry,(l:33:152:102),159789,0,AId_1
027,ARA,1,SW181219-04A,3,2.5.4,MOp_5(SW181219-04A),Region,SW181219-04A,None,None,1_14,False,EnvA-RB-mCherry,(l:36:136:91),31766,0,ORBm_6a
027,ARA,1,SW181219-04A,3,2.5.4,MOp_5(SW181219-04A),Region,SW181219-04A,None,None,1_14,False,EnvA-RB-mCherry,(l:36:136:92),316096,0,ORBm_5
027,ARA,1,SW181219-04A,3,2.5.4,MOp_5(SW181219-04A),Region,SW181219-04A,None,None,1_14,False,EnvA-RB-mCherry,(l:36:136:93),449947,1,ORBm_2/3
027,ARA,1,SW181219-04A,3,2.5.4,MOp_5(SW181219-04A),Region,SW181219-04A,None,None,1_14,False,EnvA-RB-mCherry,(l:36:136:96),234782,0,ORBm_1
027,ARA,1,SW181219-04A,3,2.5.4,MOp_5(SW181219-04A),Region,SW181219-04A,None,None,1_14,False,EnvA-RB-mCherry,(l:36:137:91),20413,0,ORBvl_6a
027,ARA,1,SW181219-04A,3,2.5.4,MOp_5(SW181219-04A),Region,SW181219-04A,None,None,1_14,False,EnvA-RB-mCherry,(l:36:137:92),180994,0,ORBvl_5
027,ARA,1,SW181219-04A,3,2.5.4,MOp_5(SW181219-04A),Region,SW181219-04A,None,None,1_14,False,EnvA-RB-mCherry,(l:36:137:93),560583,0,ORBvl_2/3
027,ARA,1,SW181219-04A,3,2.5.4,MOp_5(SW181219-04A),Region,SW181219-04A,None,None,1_14,False,EnvA-RB-mCherry,(l:36:137:94),391105,0,ORBvl_1
027,ARA,1,SW181219-04A,3,2.5.4,MOp_5(SW181219-04A),Region,SW181219-04A,None,None,1_14,False,EnvA-RB-mCherry,(l:36:138:91),68733,0,ORBl_6a
027,ARA,1,SW181219-04A,3,2.5.4,MOp_5(SW181219-04A),Region,SW181219-04A,None,None,1_14,False,EnvA-RB-mCherry,(l:36:138:92),257413,0,ORBl_5
027,ARA,1,SW181219-04A,3,2.5.4,MOp_5(SW181219-04A),Region,SW181219-04A,None,None,1_14,False,EnvA-RB-mCherry,(l:36:138:93),493595,0,ORBl_2/3
027,ARA,1,SW181219-04A,3,2.5.4,MOp_5(SW181219-04A),Region,SW181219-04A,None,None,1_14,False,EnvA-RB-mCherry,(l:36:138:94),289468,0,ORBl_1
027,ARA,1,SW181219-04A,3,2.5.4,MOp_5(SW181219-04A),Region,SW181219-04A,None,None,1_14,False,EnvA-RB-mCherry,(l:47:168:76),18402,0,PL_6a
027,ARA,1,SW181219-04A,3,2.5.4,MOp_5(SW181219-04A),Region,SW181219-04A,None,None,1_14,False,EnvA-RB-mCherry,(l:47:168:77),138076,0,PL_5
027,ARA,1,SW181219-04A,3,2.5.4,MOp_5(SW181219-04A),Region,SW181219-04A,None,None,1_14,False,EnvA-RB-mCherry,(l:47:168:79),235470,0,PL_2/3
027,ARA,1,SW181219-04A,3,2.5.4,MOp_5(SW181219-04A),Region,SW181219-04A,None,None,1_14,False,EnvA-RB-mCherry,(l:47:168:81),162185,0,PL_1
027,ARA,1,SW181219-04A,3,2.5.4,MOp_5(SW181219-04A),Region,SW181219-04A,None,None,1_14,False,EnvA-RB-mCherry,(l:84:191:143),53811,0,AON
027,ARA,1,SW181219-04A,3,2.5.4,MOp_5(SW181219-04A),Region,SW181219-04A,None,None,1_14,False,EnvA-RB-mCherry,(l:84:191:144),127841,0,AON_e
027,ARA,1,SW181219-04A,3,2.5.4,MOp_5(SW181219-04A),Region,SW181219-04A,None,None,1_14,False,EnvA-RB-mCherry,(l:84:191:145),596198,0,AON_l
027,ARA,1,SW181219-04A,3,2.5.4,MOp_5(SW181219-04A),Region,SW181219-04A,None,None,1_14,False,EnvA-RB-mCherry,(l:84:191:146),306360,0,AON_d
027,ARA,1,SW181219-04A,3,2.5.4,MOp_5(SW181219-04A),Region,SW181219-04A,None,None,1_14,False,EnvA-RB-mCherry,(l:84:191:147),364081,0,AON_pv
027,ARA,1,SW181219-04A,3,2.5.4,MOp_5(SW181219-04A),Region,SW181219-04A,None,None,1_14,False,EnvA-RB-mCherry,(l:84:191:148),320193,0,AON_m
027,ARA,1,SW181219-04A,3,2.5.4,MOp_5(SW181219-04A),Region,SW181219-04A,None,None,1_14,False,EnvA-RB-mCherry,(l:84:191:149),1315887,0,AON_1
027,ARA,1,SW181219-04A,3,2.5.4,MOp_5(SW181219-04A),Region,SW181219-04A,None,None,1_14,False,EnvA-RB-mCherry,(l:130:199:172),588171,0,MOB_gr
027,ARA,1,SW181219-04A,3,2.5.4,MOp_5(SW181219-04A),Region,SW181219-04A,None,None,1_14,False,EnvA-RB-mCherry,(l:130:199:173),79682,0,MOB_mi
027,ARA,1,SW181219-04A,3,2.5.4,MOp_5(SW181219-04A),Region,SW181219-04A,None,None,1_14,False,EnvA-RB-mCherry,(l:130:199:174),253328,0,MOB_gl
027,ARA,1,SW181219-04A,3,2.5.4,MOp_5(SW181219-04A),Region,SW181219-04A,None,None,1_14,False,EnvA-RB-mCherry,(l:130:199:175),372143,0,MOB_opl
027,ARA,1,SW181219-04A,3,2.5.4,MOp_5(SW181219-04A),Region,SW181219-04A,None,None,1_14,False,EnvA-RB-mCherry,(l:130:199:176),62919,0,MOB_ipl
027,ARA,1,SW181219-04A,3,2.5.4,MOp_5(SW181219-04A),Region,SW181219-04A,None,None,1_14,False,EnvA-RB-mCherry,(l:154:210:189),128970,0,border9
027,ARA,1,SW181219-04A,3,2.5.4,MOp_5(SW181219-04A),Region,SW181219-04A,None,None,1_14,False,EnvA-RB-mCherry,(l:170:170:170),48181,0,rc/sez
