325,CPr.imv,Cerebral Nuclei,3
326,CPr.l.ls,Cerebral Nuclei,3
327,CPr.l.vm,Cerebral Nuclei,3
328,CPr.m,Cerebral Nuclei,3
483,FS,Cerebral Nuclei,3
490,GP,Cerebral Nuclei,3
491,GPe,Cerebral Nuclei,3
493,GPi,Cerebral Nuclei,3
518,IA,Cerebral Nuclei,3
563,isl,Cerebral Nuclei,3
564,islm,Cerebral Nuclei,3
608,LS,Cerebral Nuclei,3
609,LS_c,Cerebral Nuclei,3
610,LS_r,Cerebral Nuclei,3
611,LS_v,Cerebral Nuclei,3
612,LSc,Cerebral Nuclei,3
613,LSr,Cerebral Nuclei,3
614,LSv,Cerebral Nuclei,3
615,LSX,Cerebral Nuclei,3
619,MA,Cerebral Nuclei,3
641,MEA,Cerebral Nuclei,3
642,MEA_ad,Cerebral Nuclei,3
643,MEA_av,Cerebral Nuclei,3
644,MEA_pd_a,Cerebral Nuclei,3
645,MEA_pd_b,Cerebral Nuclei,3
646,MEA_pd_c,Cerebral Nuclei,3
647,MEA_pv,Cerebral Nuclei,3
648,MEAad,Cerebral Nuclei,3
649,MEAav,Cerebral Nuclei,3
650,MEApd,Cerebral Nuclei,3
651,MEApd-a,Cerebral Nuclei,3
652,MEApd-b,Cerebral Nuclei,3
653,MEApd-c,Cerebral Nuclei,3
654,MEApv,Cerebral Nuclei,3
731,MS,Cerebral Nuclei,3
732,MSC,Cerebral Nuclei,3
748,NDB,Cerebral Nuclei,3
815,OT,Cerebral Nuclei,3
816,OT_1,Cerebral Nuclei,3
817,OT_2,Cerebral Nuclei,3
818,OT_3,Cerebral Nuclei,3
819,OT1,Cerebral Nuclei,3
820,OT2,Cerebral Nuclei,3
821,OT3,Cerebral Nuclei,3
833,PAL,Cerebral Nuclei,3
834,PALc,Cerebral Nuclei,3
835,PALd,Cerebral Nuclei,3
836,PALm,Cerebral Nuclei,3
837,PALv,Cerebral Nuclei,3
1065,sAMY,Cerebral Nuclei,3
1098,SF,Cerebral Nuclei,3
1102,SH,Cerebral Nuclei,3
1104,SI,Cerebral Nuclei,3
1229,STR,Cerebral Nuclei,3
1230,STRd,Cerebral Nuclei,3
1231,STRv,Cerebral Nuclei,3
1290,TRS,Cerebral Nuclei,3
73,AOB,Cortex,2
74,AOB_gl,Cortex,2
75,AOB_gr,Cortex,2
76,AOB_mi,Cortex,2
77,AOBgl,Cortex,2
78,AOBgr,Cortex,2
79,AOBmi,Cortex,2
81,AON,Cortex,2
82,AON_,Cortex,2
83,AON_1,Cortex,2
84,AON_d,Cortex,2
85,AON_e,Cortex,2
86,AON_l,Cortex,2
87,AON_m,Cortex,2
88,AON_pv,Cortex,2
89,AONd,Cortex,2
90,AONe,Cortex,2
91,AONl,Cortex,2
92,AONm,Cortex,2
93,AONpv,Cortex,2
142,BLA,Cortex,2
143,BLA_a,Cortex,2
144,BLA_ac,Cortex,2
145,BLA_al,Cortex,2
146,BLA_am,Cortex,2
147,BLA_p,Cortex,2
148,BLA_v,Cortex,2
149,BLAa,Cortex,2
150,BLAa-l,Cortex,2
151,BLAa-m,Cortex,2
152,BLAp,Cortex,2
153,BLAv,Cortex,2
154,BMA,Cortex,2
155,BMA_a,Cortex,2
156,BMA_p,Cortex,2
157,BMAa,Cortex,2
158,BMAp,Cortex,2
195,CA,Cortex,2
196,CA1,Cortex,2
197,CA1_slm,Cortex,2
198,CA1_so,Cortex,2
199,CA1_sp,Cortex,2
200,CA1_sr,Cortex,2
201,CA1dc,Cortex,2
202,CA1dr,Cortex,2
203,CA1i,Cortex,2
204,CA1slm,Cortex,2
205,CA1so,Cortex,2
206,CA1sp,Cortex,2
207,CA1sr,Cortex,2
208,CA1v,Cortex,2
209,CA1vv,Cortex,2
210,CA2,Cortex,2
211,CA2_c,Cortex,2
212,CA2_i,Cortex,2
213,CA2_r,Cortex,2
214,CA2_slm,Cortex,2
215,CA2_so,Cortex,2
