ARA Level,Atlas Name,Atlas Version,Case Name,Channel Number,Connection Lens Version,Injection Site,Overlap Format,Project Name,Secondary Injection Site,Seconday Injection Site,Slide Number,Threshold Adjusted,Tracer,(HEMISPHERE:R:G:B),ATLAS ONLY,OVERLAP,REGION
016,ARA,1,SW180509-02A,3,2.5.4,MOp_5(SW180509-02A),Region,SW180509-02A,None,None,1_08,False,EnvA-RB-RVdG-4mCherry,(l:130:199:172),2160377,0,MOB_gr
016,ARA,1,SW180509-02A,3,2.5.4,MOp_5(SW180509-02A),Region,SW180509-02A,None,None,1_08,False,EnvA-RB-RVdG-4mCherry,(l:130:199:173),396696,0,MOB_mi
016,ARA,1,SW180509-02A,3,2.5.4,MOp_5(SW180509-02A),Region,SW180509-02A,None,None,1_08,False,EnvA-RB-RVdG-4mCherry,(l:130:199:174),2214005,0,MOB_gl
016,ARA,1,SW180509-02A,3,2.5.4,MOp_5(SW180509-02A),Region,SW180509-02A,None,None,1_08,False,EnvA-RB-RVdG-4mCherry,(l:130:199:175),2155573,3,MOB_opl
016,ARA,1,SW180509-02A,3,2.5.4,MOp_5(SW180509-02A),Region,SW180509-02A,None,None,1_08,False,EnvA-RB-RVdG-4mCherry,(l:130:199:176),412881,0,MOB_ipl
016,ARA,1,SW180509-02A,3,2.5.4,MOp_5(SW180509-02A),Region,SW180509-02A,None,None,1_08,False,EnvA-RB-RVdG-4mCherry,(l:154:210:189),1134,0,border9
016,ARA,1,SW180509-02A,3,2.5.4,MOp_5(SW180509-02A),Region,SW180509-02A,None,None,1_08,False,EnvA-RB-RVdG-4mCherry,(l:157:240:207),216820,0,AOB_gr
016,ARA,1,SW180509-02A,3,2.5.4,MOp_5(SW180509-02A),Region,SW180509-02A,None,None,1_08,False,EnvA-RB-RVdG-4mCherry,(l:157:240:210),183256,0,AOB
016,ARA,1,SW180509-02A,3,2.5.4,MOp_5(SW180509-02A),Region,SW180509-02A,None,None,1_08,False,EnvA-RB-RVdG-4mCherry,(l:170:170:170),82396,0,rc/sez
016,ARA,1,SW180509-02A,3,2.5.4,MOp_5(SW180509-02A),Region,SW180509-02A,None,None,1_08,False,EnvA-RB-RVdG-4mCherry,(l:191:218:227),2,0,BORDER0
016,ARA,1,SW180509-02A,3,2.5.4,MOp_5(SW180509-02A),Region,SW180509-02A,None,None,1_08,False,EnvA-RB-RVdG-4mCherry,(l:204:204:204),799474,0,onl
016,ARA,1,SW180509-02A,3,2.5.4,MOp_5(SW180509-02A),Region,SW180509-02A,None,None,1_08,False,EnvA-RB-RVdG-4mCherry,(l:204:204:205),238578,0,aco/lotd
016,ARA,1,SW180509-02A,3,2.5.4,MOp_5(SW180509-02A),Region,SW180509-02A,None,None,1_08,False,EnvA-RB-RVdG-4mCherry,(l:204:204:206),159801,0,lot
016,ARA,1,SW180509-02A,3,2.5.4,MOp_5(SW180509-02A),Region,SW180509-02A,None,None,1_08,False,EnvA-RB-RVdG-4mCherry,(l:255:255:255),71983276,0,BORDER6
016,ARA,1,SW180509-02A,3,2.5.4,MOp_5(SW180509-02A),Region,SW180509-02A,None,None,1_08,False,EnvA-RB-RVdG-4mCherry,(r:130:199:172),2160377,0,MOB_gr
016,ARA,1,SW180509-02A,3,2.5.4,MOp_5(SW180509-02A),Region,SW180509-02A,None,None,1_08,False,EnvA-RB-RVdG-4mCherry,(r:130:199:173),396696,0,MOB_mi
016,ARA,1,SW180509-02A,3,2.5.4,MOp_5(SW180509-02A),Region,SW180509-02A,None,None,1_08,False,EnvA-RB-RVdG-4mCherry,(r:130:199:174),2214005,0,MOB_gl
016,ARA,1,SW180509-02A,3,2.5.4,MOp_5(SW180509-02A),Region,SW180509-02A,None,None,1_08,False,EnvA-RB-RVdG-4mCherry,(r:130:199:175),2155573,3,MOB_opl
016,ARA,1,SW180509-02A,3,2.5.4,MOp_5(SW180509-02A),Region,SW180509-02A,None,None,1_08,False,EnvA-RB-RVdG-4mCherry,(r:130:199:176),412881,0,MOB_ipl
016,ARA,1,SW180509-02A,3,2.5.4,MOp_5(SW180509-02A),Region,SW180509-02A,None,None,1_08,False,EnvA-RB-RVdG-4mCherry,(r:154:210:189),1134,0,border9
016,ARA,1,SW180509-02A,3,2.5.4,MOp_5(SW180509-02A),Region,SW180509-02A,None,None,1_08,False,EnvA-RB-RVdG-4mCherry,(r:157:240:207),216820,0,AOB_gr
016,ARA,1,SW180509-02A,3,2.5.4,MOp_5(SW180509-02A),Region,SW180509-02A,None,None,1_08,False,EnvA-RB-RVdG-4mCherry,(r:157:240:210),183256,0,AOB
016,ARA,1,SW180509-02A,3,2.5.4,MOp_5(SW180509-02A),Region,SW180509-02A,None,None,1_08,False,EnvA-RB-RVdG-4mCherry,(r:170:170:170),82396,0,rc/sez
016,ARA,1,SW180509-02A,3,2.5.4,MOp_5(SW180509-02A),Region,SW180509-02A,None,None,1_08,False,EnvA-RB-RVdG-4mCherry,(r:191:218:227),2,0,BORDER0
016,ARA,1,SW180509-02A,3,2.5.4,MOp_5(SW180509-02A),Region,SW180509-02A,None,None,1_08,False,EnvA-RB-RVdG-4mCherry,(r:204:204:204),799474,0,onl
016,ARA,1,SW180509-02A,3,2.5.4,MOp_5(SW180509-02A),Region,SW180509-02A,None,None,1_08,False,EnvA-RB-RVdG-4mCherry,(r:204:204:205),238578,0,aco/lotd
016,ARA,1,SW180509-02A,3,2.5.4,MOp_5(SW180509-02A),Region,SW180509-02A,None,None,1_08,False,EnvA-RB-RVdG-4mCherry,(r:204:204:206),159801,0,lot
016,ARA,1,SW180509-02A,3,2.5.4,MOp_5(SW180509-02A),Region,SW180509-02A,None,None,1_08,False,EnvA-RB-RVdG-4mCherry,(r:255:255:255),71983276,0,BORDER6
017,ARA,1,SW180509-02A,3,2.5.4,MOp_5(SW180509-02A),Region,SW180509-02A,None,None,1_09,False,EnvA-RB-RVdG-4mCherry,(l:130:199:172),1946556,2,MOB_gr
017,ARA,1,SW180509-02A,3,2.5.4,MOp_5(SW180509-02A),Region,SW180509-02A,None,None,1_09,False,EnvA-RB-RVdG-4mCherry,(l:130:199:173),374775,0,MOB_mi
017,ARA,1,SW180509-02A,3,2.5.4,MOp_5(SW180509-02A),Region,SW180509-02A,None,None,1_09,False,EnvA-RB-RVdG-4mCherry,(l:130:199:174),2084775,0,MOB_gl
017,ARA,1,SW180509-02A,3,2.5.4,MOp_5(SW180509-02A),Region,SW180509-02A,None,None,1_09,False,EnvA-RB-RVdG-4mCherry,(l:130:199:175),1796110,0,MOB_opl
017,ARA,1,SW180509-02A,3,2.5.4,MOp_5(SW180509-02A),Region,SW180509-02A,None,None,1_09,False,EnvA-RB-RVdG-4mCherry,(l:130:199:176),357346,0,MOB_ipl
017,ARA,1,SW180509-02A,3,2.5.4,MOp_5(SW180509-02A),Region,SW180509-02A,None,None,1_09,False,EnvA-RB-RVdG-4mCherry,(l:154:210:189),11474,0,border9
017,ARA,1,SW180509-02A,3,2.5.4,MOp_5(SW180509-02A),Region,SW180509-02A,None,None,1_09,False,EnvA-RB-RVdG-4mCherry,(l:157:240:207),215794,0,AOB_gr
017,ARA,1,SW180509-02A,3,2.5.4,MOp_5(SW180509-02A),Region,SW180509-02A,None,None,1_09,False,EnvA-RB-RVdG-4mCherry,(l:157:240:208),181694,0,AOB_mi
017,ARA,1,SW180509-02A,3,2.5.4,MOp_5(SW180509-02A),Region,SW180509-02A,None,None,1_09,False,EnvA-RB-RVdG-4mCherry,(l:157:240:209),40465,0,AOB_gl
017,ARA,1,SW180509-02A,3,2.5.4,MOp_5(SW180509-02A),Region,SW180509-02A,None,None,1_09,False,EnvA-RB-RVdG-4mCherry,(l:157:240:210),123957,0,AOB
017,ARA,1,SW180509-02A,3,2.5.4,MOp_5(SW180509-02A),Region,SW180509-02A,None,None,1_09,False,EnvA-RB-RVdG-4mCherry,(l:170:170:170),92626,0,rc/sez
017,ARA,1,SW180509-02A,3,2.5.4,MOp_5(SW180509-02A),Region,SW180509-02A,None,None,1_09,False,EnvA-RB-RVdG-4mCherry,(l:191:218:227),96,0,BORDER0
017,ARA,1,SW180509-02A,3,2.5.4,MOp_5(SW180509-02A),Region,SW180509-02A,None,None,1_09,False,EnvA-RB-RVdG-4mCherry,(l:204:204:204),655363,0,onl
