ARA Level,Atlas Name,Atlas Version,Case Name,Channel Number,Connection Lens Version,Injection Site,Overlap Format,Project Name,Secondary Injection Site,Seconday Injection Site,Slide Number,Threshold Adjusted,Tracer,(HEMISPHERE:R:G:B),ATLAS ONLY,OVERLAP,REGION
18,ARA,1,SW181219-03A,3,2.5.4,MOp_5(SW181219-03A),Region,SW181219-03A,None,None,1_07,FALSE,EnvA-RB-RVdG-4mCherry,(l:130:199:172),1777362,1,MOB_gr
18,ARA,1,SW181219-03A,3,2.5.4,MOp_5(SW181219-03A),Region,SW181219-03A,None,None,1_07,FALSE,EnvA-RB-RVdG-4mCherry,(l:130:199:173),394429,5,MOB_mi
18,ARA,1,SW181219-03A,3,2.5.4,MOp_5(SW181219-03A),Region,SW181219-03A,None,None,1_07,FALSE,EnvA-RB-RVdG-4mCherry,(l:130:199:174),1951613,0,MOB_gl
18,ARA,1,SW181219-03A,3,2.5.4,MOp_5(SW181219-03A),Region,SW181219-03A,None,None,1_07,FALSE,EnvA-RB-RVdG-4mCherry,(l:130:199:175),1891600,24,MOB_opl
18,ARA,1,SW181219-03A,3,2.5.4,MOp_5(SW181219-03A),Region,SW181219-03A,None,None,1_07,FALSE,EnvA-RB-RVdG-4mCherry,(l:130:199:176),436401,3,MOB_ipl
18,ARA,1,SW181219-03A,3,2.5.4,MOp_5(SW181219-03A),Region,SW181219-03A,None,None,1_07,FALSE,EnvA-RB-RVdG-4mCherry,(l:154:210:189),1904,0,border9
18,ARA,1,SW181219-03A,3,2.5.4,MOp_5(SW181219-03A),Region,SW181219-03A,None,None,1_07,FALSE,EnvA-RB-RVdG-4mCherry,(l:157:240:207),223832,0,AOB_gr
18,ARA,1,SW181219-03A,3,2.5.4,MOp_5(SW181219-03A),Region,SW181219-03A,None,None,1_07,FALSE,EnvA-RB-RVdG-4mCherry,(l:157:240:208),172732,1,AOB_mi
18,ARA,1,SW181219-03A,3,2.5.4,MOp_5(SW181219-03A),Region,SW181219-03A,None,None,1_07,FALSE,EnvA-RB-RVdG-4mCherry,(l:157:240:209),116255,7,AOB_gl
18,ARA,1,SW181219-03A,3,2.5.4,MOp_5(SW181219-03A),Region,SW181219-03A,None,None,1_07,FALSE,EnvA-RB-RVdG-4mCherry,(l:157:240:210),191387,4,AOB
18,ARA,1,SW181219-03A,3,2.5.4,MOp_5(SW181219-03A),Region,SW181219-03A,None,None,1_07,FALSE,EnvA-RB-RVdG-4mCherry,(l:170:170:170),97780,0,rc/sez
18,ARA,1,SW181219-03A,3,2.5.4,MOp_5(SW181219-03A),Region,SW181219-03A,None,None,1_07,FALSE,EnvA-RB-RVdG-4mCherry,(l:191:218:227),155,0,BORDER0
18,ARA,1,SW181219-03A,3,2.5.4,MOp_5(SW181219-03A),Region,SW181219-03A,None,None,1_07,FALSE,EnvA-RB-RVdG-4mCherry,(l:204:204:204),701596,0,onl
18,ARA,1,SW181219-03A,3,2.5.4,MOp_5(SW181219-03A),Region,SW181219-03A,None,None,1_07,FALSE,EnvA-RB-RVdG-4mCherry,(l:204:204:205),737931,0,aco/lotd
18,ARA,1,SW181219-03A,3,2.5.4,MOp_5(SW181219-03A),Region,SW181219-03A,None,None,1_07,FALSE,EnvA-RB-RVdG-4mCherry,(l:255:255:255),72309250,0,BORDER6
18,ARA,1,SW181219-03A,3,2.5.4,MOp_5(SW181219-03A),Region,SW181219-03A,None,None,1_07,FALSE,EnvA-RB-RVdG-4mCherry,(r:130:199:172),1777363,0,MOB_gr
18,ARA,1,SW181219-03A,3,2.5.4,MOp_5(SW181219-03A),Region,SW181219-03A,None,None,1_07,FALSE,EnvA-RB-RVdG-4mCherry,(r:130:199:173),394434,0,MOB_mi
18,ARA,1,SW181219-03A,3,2.5.4,MOp_5(SW181219-03A),Region,SW181219-03A,None,None,1_07,FALSE,EnvA-RB-RVdG-4mCherry,(r:130:199:174),1951613,0,MOB_gl
18,ARA,1,SW181219-03A,3,2.5.4,MOp_5(SW181219-03A),Region,SW181219-03A,None,None,1_07,FALSE,EnvA-RB-RVdG-4mCherry,(r:130:199:175),1891624,0,MOB_opl
18,ARA,1,SW181219-03A,3,2.5.4,MOp_5(SW181219-03A),Region,SW181219-03A,None,None,1_07,FALSE,EnvA-RB-RVdG-4mCherry,(r:130:199:176),436404,0,MOB_ipl
18,ARA,1,SW181219-03A,3,2.5.4,MOp_5(SW181219-03A),Region,SW181219-03A,None,None,1_07,FALSE,EnvA-RB-RVdG-4mCherry,(r:154:210:189),1904,0,border9
18,ARA,1,SW181219-03A,3,2.5.4,MOp_5(SW181219-03A),Region,SW181219-03A,None,None,1_07,FALSE,EnvA-RB-RVdG-4mCherry,(r:157:240:207),223832,0,AOB_gr
18,ARA,1,SW181219-03A,3,2.5.4,MOp_5(SW181219-03A),Region,SW181219-03A,None,None,1_07,FALSE,EnvA-RB-RVdG-4mCherry,(r:157:240:208),172733,0,AOB_mi
18,ARA,1,SW181219-03A,3,2.5.4,MOp_5(SW181219-03A),Region,SW181219-03A,None,None,1_07,FALSE,EnvA-RB-RVdG-4mCherry,(r:157:240:209),116262,0,AOB_gl
18,ARA,1,SW181219-03A,3,2.5.4,MOp_5(SW181219-03A),Region,SW181219-03A,None,None,1_07,FALSE,EnvA-RB-RVdG-4mCherry,(r:157:240:210),191391,0,AOB
18,ARA,1,SW181219-03A,3,2.5.4,MOp_5(SW181219-03A),Region,SW181219-03A,None,None,1_07,FALSE,EnvA-RB-RVdG-4mCherry,(r:170:170:170),97780,0,rc/sez
18,ARA,1,SW181219-03A,3,2.5.4,MOp_5(SW181219-03A),Region,SW181219-03A,None,None,1_07,FALSE,EnvA-RB-RVdG-4mCherry,(r:191:218:227),155,0,BORDER0
18,ARA,1,SW181219-03A,3,2.5.4,MOp_5(SW181219-03A),Region,SW181219-03A,None,None,1_07,FALSE,EnvA-RB-RVdG-4mCherry,(r:204:204:204),701596,0,onl
18,ARA,1,SW181219-03A,3,2.5.4,MOp_5(SW181219-03A),Region,SW181219-03A,None,None,1_07,FALSE,EnvA-RB-RVdG-4mCherry,(r:204:204:205),737931,0,aco/lotd
18,ARA,1,SW181219-03A,3,2.5.4,MOp_5(SW181219-03A),Region,SW181219-03A,None,None,1_07,FALSE,EnvA-RB-RVdG-4mCherry,(r:255:255:255),72309250,0,BORDER6
20,ARA,1,SW181219-03A,3,2.5.4,MOp_5(SW181219-03A),Region,SW181219-03A,None,None,1_08,FALSE,EnvA-RB-RVdG-4mCherry,(l:84:191:144),401311,0,AON_e
20,ARA,1,SW181219-03A,3,2.5.4,MOp_5(SW181219-03A),Region,SW181219-03A,None,None,1_08,FALSE,EnvA-RB-RVdG-4mCherry,(l:84:191:145),225942,0,AON_l
